codigo,corRaca,bairro
22667,BRANCA,"SÃO JoÃO"
42974,SEM_DECLARACAO,"NAIR MARIA"
43547,BRANCA,"Jardim Marília"
43899,BRANCA,Estação
43546,SEM_DECLARACAO,"Vila Flora"
42974,SEM_DECLARACAO,"NAIR MARIA"
34421,SEM_DECLARACAO,"Vila Teixeira"
22891,SEM_DECLARACAO,"Vila Teixeira"
41319,BRANCA,"Jardim da Cidade III"
41319,BRANCA,"Jardim da Cidade III"
2907,BRANCA,"Isaura Maria"
45116,SEM_DECLARACAO,"Residencial Parque Laguna "
45454,SEM_DECLARACAO,"Jardim Independência"
45591,BRANCA,"Residencial Parque Laguna "
45776,PARDA,"Jardim Elizabeth"
45779,NULL,"Jardim Elizabeth"
45780,NULL,"Jardim Elizabeth"
45221,SEM_DECLARACAO,"Jardim São João"
46519,BRANCA,"Vila Roma"
22237,SEM_DECLARACAO,"Jardim da Cidade III"
22184,BRANCA,"Arco iris"
22913,BRANCA,"Pq. Marechal Rondon"
29937,SEM_DECLARACAO,"Pq. Marechal Rondon"
48152,SEM_DECLARACAO,"Vila Flora"
45776,PARDA,"Jardim Elizabeth"
53166,SEM_DECLARACAO,"Jardim Planalto"
25764,NULL,"Loteamento Terras de São Pedro e São Paulo"
53143,SEM_DECLARACAO,"Salto de São José"
22670,PARDA,Canjico
21296,BRANCA,Nações
21296,BRANCA,Nações
28788,SEM_DECLARACAO,Rondon
55224,SEM_DECLARACAO,"Jardim Santa Cruz"
