codigo,bairro,sexo,cep,codigo_unidade,situacao
23018,"Vila RomãO",MASCULINO,13321-080,7,TRABALHO_INFANTIL
22667,"SÃO JoÃO",FEMININO,13327-280,7,VIOLENCIA_FISICA
21138,"Santo Antonio",MASCULINO,13321-470,3,TRABALHO_INFANTIL
30687,"Bom Retiro Ii",MASCULINO,13327-467,7,OUTRA
22353,"Bom Retiro Ii",FEMININO,13327-467,7,OUTRA
31233,"Bom Retiro",MASCULINO,13327-465,5,ATO_INFRACIONAL
31948,"Residencial Parque Laguna ",MASCULINO,13322-374,4,ATO_INFRACIONAL
31044,"Jardim Bom Retiro",MASCULINO,13327-466,5,ATO_INFRACIONAL
34234,"Jardim Bom Retiro",FEMININO,13327-466,5,ATO_INFRACIONAL
30028,"Jd. NaçõEs",MASCULINO,13322-163,7,ATO_INFRACIONAL
28868,Guaraú,FEMININO,13320-000,7,OUTRA
37261,"SÃO PEDRO SÃO PAULO",MASCULINO,13324-470,6,ATO_INFRACIONAL
37793,"São João",MASCULINO,13320-000,7,ATO_INFRACIONAL
35732,"Salto de São José",MASCULINO,13324-260,5,ATO_INFRACIONAL
38157,,MASCULINO,13324-266,7,ATO_INFRACIONAL
21992,"Jd. Bandeirantes",MASCULINO,13322-120,7,ATO_INFRACIONAL
39062,"Jardim Planalto",FEMININO,13322-250,4,OUTRA
40178,"Jardim Santo Antônio",MASCULINO,13321-471,3,ATO_INFRACIONAL
31138,"Jd. Marilia",MASCULINO,13323-030,7,ATO_INFRACIONAL
31036,,MASCULINO,13323-060,7,ATO_INFRACIONAL
24846,"Jd. Iracema",MASCULINO,13320-000,7,ATO_INFRACIONAL
39947,Olaria ,FEMININO,13329-350,4,ATO_INFRACIONAL
41683,"JARDIM NAIR MARIA",MASCULINO,13322-288,4,ATO_INFRACIONAL
42001,"Jardim Santo Inácio",MASCULINO,13321-490,3,ATO_INFRACIONAL
41970,"Jardim Saltense",MASCULINO,13327-231,7,ATO_INFRACIONAL
27646,"SãO Judas Tadeu",MASCULINO,13327-401,7,NEGLIGENCIA_CONTRA_CRIANÇA
25130,NaçõEs,MASCULINO,13322-245,7,ATO_INFRACIONAL
42573,"Jardim Santo Antônio",FEMININO,13321-460,3,ATO_INFRACIONAL
42851,"Jardim Elizabeth",MASCULINO,13326-030,5,ATO_INFRACIONAL
